时间	开	高	低	收	量	额
2003-11-18	6.230	6.480	6.110	6.180	7538631	4693850112.000
2003-11-19	6.160	6.280	6.150	6.240	964873	601302976.000
2003-11-20	6.230	6.350	6.190	6.350	804131	504193984.000
2003-11-21	6.360	6.530	6.320	6.320	835147	535388992.000
2003-11-24	6.320	6.670	6.320	6.650	676646	439502016.000
2003-11-25	6.650	6.730	6.560	6.610	730925	486006016.000
2003-11-26	6.610	6.730	6.560	6.620	305578	202771008.000
2003-11-27	6.620	6.710	6.570	6.660	341844	227200992.000
2003-11-28	6.670	6.860	6.670	6.820	464203	315038016.000
2003-12-01	6.820	7.020	6.810	7.000	607152	422052992.000
2003-12-02	7.020	7.060	6.970	7.000	496736	348166016.000
2003-12-03	7.000	7.690	6.990	7.380	1236349	899776000.000
2003-12-04	7.380	7.570	7.330	7.460	805329	600057024.000
2003-12-05	7.470	7.550	7.320	7.470	658512	488630016.000
2003-12-08	7.470	7.540	7.350	7.360	411005	305294016.000
2003-12-09	7.360	7.570	7.360	7.550	531300	397336000.000
2003-12-10	7.580	7.740	7.550	7.730	626045	479720992.000
2003-12-11	7.760	7.820	7.490	7.600	817167	623974976.000
2003-12-12	7.560	7.620	7.480	7.580	365842	275712000.000
2003-12-15	7.580	7.590	7.470	7.510	305505	229670000.000
2003-12-16	7.500	7.700	7.400	7.670	544100	410788992.000
2003-12-17	7.610	7.780	7.550	7.560	487203	373294016.000
2003-12-18	7.530	7.780	7.510	7.730	349822	267808992.000
2003-12-19	7.770	8.090	7.760	8.000	867253	685083008.000
2003-12-22	8.050	8.700	7.970	8.600	952951	791969984.000
2003-12-23	8.600	8.740	8.540	8.690	623558	539230016.000
2003-12-24	8.690	8.870	8.610	8.860	504271	438304000.000
2003-12-25	8.890	9.050	8.710	8.830	594129	528049984.000
2003-12-26	8.830	8.870	8.650	8.720	385690	336355008.000
2003-12-29	8.680	8.770	8.590	8.620	326233	282820000.000
2003-12-30	8.620	9.050	8.620	8.940	674846	602713024.000
2003-12-31	9.050	9.070	8.660	8.680	507526	448534016.000
2004-01-02	8.710	9.000	8.680	8.830	377096	333952992.000
2004-01-05	8.810	9.290	8.740	9.200	820841	746489984.000
2004-01-06	9.220	9.260	8.930	9.070	887121	804496000.000
2004-01-07	9.070	9.550	8.970	9.260	904525	839939008.000
2004-01-08	9.250	9.370	9.110	9.240	430073	396609984.000
2004-01-09	9.240	9.350	8.860	8.910	605373	549534976.000
2004-01-12	8.880	9.160	8.680	9.130	668290	598502016.000
2004-01-13	9.150	9.150	8.790	8.870	459073	411131008.000
2004-01-14	8.850	8.920	8.690	8.780	288245	253404000.000
2004-01-15	8.770	8.900	8.580	8.610	419545	364488000.000
2004-01-16	8.620	8.920	8.620	8.820	413679	363681984.000
2004-01-29	8.830	8.950	8.760	8.910	210446	186076000.000
2004-01-30	8.910	9.020	8.700	8.740	325955	289238016.000
2004-02-02	9.610	9.610	8.900	9.040	998359	912460992.000
2004-02-03	9.040	9.240	8.960	9.200	389431	356039008.000
2004-02-04	9.210	9.950	9.210	9.800	941187	905155008.000
2004-02-05	9.800	9.940	9.660	9.850	413892	405780992.000
2004-02-06	9.850	9.860	9.630	9.730	335731	327012000.000
2004-02-09	9.760	9.950	9.700	9.770	281809	277047008.000
2004-02-10	9.770	9.820	9.480	9.540	349645	335704992.000
2004-02-11	9.540	9.600	9.330	9.440	379636	358030016.000
2004-02-12	9.550	9.580	8.900	8.920	730260	665299008.000
2004-02-13	8.900	9.080	8.850	8.950	371223	332319008.000
2004-02-16	8.960	9.140	8.950	9.140	334293	302272000.000
2004-02-17	9.170	9.200	8.960	9.000	476909	433284000.000
2004-02-18	9.000	9.080	8.910	9.040	279251	251818000.000
2004-02-19	9.040	9.210	9.000	9.130	513950	468881984.000
2004-02-20	9.130	9.170	9.050	9.100	210383	191666000.000
2004-02-23	9.110	9.150	8.720	8.750	354584	315331008.000
2004-02-24	8.700	8.850	8.610	8.770	292804	255554000.000
2004-02-25	8.770	9.010	8.710	8.770	195746	173420992.000
2004-02-26	8.770	8.940	8.640	8.920	258232	227582000.000
2004-02-27	8.990	9.070	8.900	8.990	218951	196919008.000
2004-03-01	8.980	8.990	8.740	8.890	192911	170456000.000
2004-03-02	8.920	9.020	8.790	8.830	186073	165460992.000
2004-03-03	8.840	8.950	8.600	8.690	237554	207739008.000
2004-03-04	8.660	8.740	8.490	8.570	270469	232196992.000
2004-03-05	8.570	8.700	8.490	8.550	171865	147444000.000
2004-03-08	8.550	8.610	8.480	8.490	141980	121125000.000
2004-03-09	8.510	8.740	8.490	8.590	230947	199466000.000
2004-03-10	8.620	9.000	8.620	8.990	483075	428078016.000
2004-03-11	8.990	9.070	8.910	8.980	340191	306169984.000
2004-03-12	8.980	9.070	8.920	9.000	221388	199468992.000
2004-03-15	9.000	9.300	8.980	9.190	412990	379711008.000
2004-03-16	9.240	9.420	9.180	9.230	365840	339703008.000
2004-03-17	9.250	9.300	9.110	9.230	181744	167179008.000
2004-03-18	9.230	9.320	9.110	9.120	238972	220294000.000
2004-03-19	9.080	9.300	9.030	9.280	178530	163644000.000
2004-03-22	9.260	9.350	9.170	9.200	151768	140110000.000
2004-03-23	9.190	9.200	9.010	9.030	153004	138600992.000
2004-03-24	9.000	9.100	8.970	9.000	100584	90723000.000
2004-03-25	8.980	9.060	8.870	8.920	131414	117492000.000
2004-03-26	8.890	8.930	8.810	8.900	107777	95582000.000
2004-03-29	8.900	9.070	8.860	9.000	114775	103024000.000
2004-03-30	9.000	9.080	8.890	8.900	90089	80676000.000
2004-03-31	8.950	9.170	8.900	9.000	180812	163748000.000
2004-04-01	9.040	9.280	8.990	9.240	276069	253570000.000
2004-04-02	9.260	9.470	9.230	9.360	391448	366959008.000
2004-04-05	9.370	9.430	9.160	9.190	221193	205196000.000
2004-04-06	9.180	9.270	9.120	9.260	151184	139134000.000
2004-04-07	9.280	9.390	9.150	9.150	195474	181063008.000
2004-04-08	9.150	9.300	9.140	9.220	230865	212864992.000
2004-04-09	9.230	9.290	8.980	9.070	225857	205395008.000
2004-04-12	8.990	9.160	8.910	9.000	228467	206532992.000
2004-04-13	9.000	9.190	8.960	9.150	222323	202826000.000
2004-04-14	9.150	9.460	9.120	9.380	495088	461480992.000
2004-04-15	9.400	9.480	9.330	9.380	339163	318983008.000
2004-04-16	9.380	9.640	9.370	9.620	571842	545451008.000
2004-04-19	9.650	9.680	9.250	9.350	351252	333361984.000
2004-04-20	9.300	9.400	9.230	9.330	168686	157260992.000
2004-04-21	9.360	9.600	9.310	9.420	260584	246620992.000
2004-04-22	9.370	9.510	9.080	9.270	293217	271414016.000
2004-04-23	9.170	9.290	9.120	9.150	120824	110950000.000
2004-04-26	9.150	9.320	9.130	9.300	128455	118456000.000
2004-04-27	9.300	9.420	9.230	9.300	161945	151131008.000
2004-04-28	9.280	9.300	9.000	9.130	252230	230150000.000
2004-04-29	9.090	9.170	8.840	8.860	330983	296225984.000
2004-04-30	8.850	9.070	8.830	8.990	141424	126998000.000
2004-05-10	9.080	9.190	8.880	8.980	151798	137002000.000
2004-05-11	8.910	8.980	8.660	8.810	191283	167494000.000
2004-05-12	8.800	8.960	8.670	8.930	149576	132672000.000
2004-05-13	8.930	9.090	8.860	9.000	231231	208416992.000
2004-05-17	8.850	8.910	8.680	8.760	222179	195278000.000
2004-05-18	8.550	8.710	8.360	8.540	2118595	1808973952.000
2004-05-19	8.410	8.840	8.410	8.670	633932	551081984.000
2004-05-20	8.720	8.920	8.620	8.770	402198	354296000.000
2004-05-21	8.750	8.850	8.720	8.800	207788	182331008.000
2004-05-24	8.810	8.960	8.800	8.860	235450	209319008.000
2004-05-25	8.870	8.900	8.720	8.780	214322	188252992.000
2004-05-26	8.750	8.930	8.730	8.910	133203	117904000.000
2004-05-27	8.910	9.080	8.820	9.020	331997	298752992.000
2004-05-28	9.020	9.030	8.900	8.930	210821	188403008.000
2004-05-31	8.930	8.970	8.880	8.950	117532	104889000.000
2004-06-01	8.890	9.030	8.850	9.030	164322	147624000.000
2004-06-02	9.030	9.050	8.880	8.920	132212	118226000.000
2004-06-03	8.900	8.910	8.840	8.860	103674	91995000.000
2004-06-04	8.850	8.960	8.810	8.850	104880	93051000.000
2004-06-07	8.850	8.850	8.750	8.760	150477	132219000.000
2004-06-08	8.750	8.790	8.590	8.660	246671	214328992.000
2004-06-09	8.610	8.730	8.600	8.680	173561	150108000.000
2004-06-10	8.630	8.710	8.560	8.610	175207	151471008.000
2004-06-11	8.670	8.760	8.590	8.650	155414	134768992.000
2004-06-14	8.610	8.640	8.460	8.510	223344	190244992.000
2004-06-15	8.510	8.690	8.500	8.670	84592	72691000.000
2004-06-16	8.690	8.800	8.630	8.730	157925	137838000.000
2004-06-17	8.800	8.800	8.530	8.570	137253	119253000.000
2004-06-18	8.520	8.600	8.170	8.320	431376	360212992.000
2004-06-21	8.280	8.350	8.200	8.310	136712	113377000.000
2004-06-22	8.300	8.600	8.230	8.500	242841	206368992.000
2004-06-23	8.500	8.540	8.450	8.520	108373	91922000.000
2004-06-24	8.520	8.600	8.480	8.500	92498	78826000.000
2004-06-25	8.480	8.510	8.300	8.310	130921	109752000.000
2004-06-28	8.230	8.420	8.220	8.360	80129	66662000.000
2004-06-29	8.370	8.550	8.290	8.540	141527	119319000.000
2004-06-30	8.500	8.590	8.420	8.480	121299	103219000.000
2004-07-01	8.450	8.760	8.440	8.700	207921	180392000.000
2004-07-02	8.660	8.800	8.650	8.770	103454	90411000.000
2004-07-05	8.790	8.790	8.650	8.750	58008	50522000.000
2004-07-06	8.770	8.900	8.700	8.730	156964	138252000.000
2004-07-07	8.700	8.720	8.640	8.690	36960	32038000.000
2004-07-08	8.680	8.780	8.640	8.780	39064	34005000.000
2004-07-09	8.800	8.910	8.750	8.780	109656	96822000.000
2004-07-12	8.760	8.760	8.630	8.650	77520	67227000.000
2004-07-13	8.630	8.780	8.610	8.760	78359	68267000.000
2004-07-14	8.760	8.890	8.750	8.860	112281	98980000.000
2004-07-15	8.880	9.110	8.770	9.070	425620	382235008.000
2004-07-16	9.070	9.260	9.060	9.090	418375	383012992.000
2004-07-19	9.090	9.330	9.050	9.230	253204	233263008.000
2004-07-20	9.230	9.270	9.130	9.180	235247	216392000.000
2004-07-21	9.180	9.220	9.090	9.150	100703	92228000.000
2004-07-22	9.130	9.170	8.850	8.910	258119	231484000.000
2004-07-23	8.900	9.000	8.810	8.980	249926	221624992.000
2004-07-26	8.900	9.100	8.870	9.020	100169	90275000.000
2004-07-27	9.000	9.090	8.970	8.990	105582	95285000.000
2004-07-28	9.150	9.200	8.830	9.040	219826	198296992.000
2004-07-29	9.040	9.170	9.000	9.100	157285	143158000.000
2004-07-30	9.100	9.110	8.940	8.970	80853	72886000.000
2004-08-02	8.950	8.960	8.820	8.830	80214	71376000.000
2004-08-03	8.800	8.920	8.700	8.710	169539	148932000.000
2004-08-04	8.710	9.350	8.680	9.070	349199	315620992.000
2004-08-05	9.040	9.130	8.910	8.930	137575	124190000.000
2004-08-06	8.900	9.020	8.870	8.910	67390	60129000.000
2004-08-09	8.910	9.050	8.910	9.010	80157	72128000.000
2004-08-10	9.020	9.090	8.980	9.060	70545	63741000.000
2004-08-11	9.030	9.030	8.920	8.940	97951	87667000.000
2004-08-12	8.890	8.990	8.810	8.980	87307	77542000.000
2004-08-13	8.930	9.040	8.880	8.960	60558	54386000.000
2004-08-16	8.960	9.100	8.870	8.910	168208	151180992.000
2004-08-17	8.900	9.020	8.860	8.980	112404	100751000.000
2004-08-18	8.990	9.130	8.980	9.020	164412	149078000.000
2004-08-19	9.020	9.050	8.980	9.020	84166	75844000.000
2004-08-20	9.000	9.100	8.990	9.040	164634	148879008.000
2004-08-23	9.040	9.040	8.890	8.890	171380	153524992.000
2004-08-24	8.820	8.960	8.820	8.900	114737	102148000.000
2004-08-25	8.900	8.950	8.840	8.910	39810	35371000.000
2004-08-26	8.900	8.930	8.850	8.910	39828	35421000.000
2004-08-27	8.910	8.930	8.680	8.700	132478	116184000.000
2004-08-31	8.900	8.990	8.700	8.820	146625	129030000.000
2004-09-01	8.810	8.810	8.390	8.500	272741	232903008.000
2004-09-02	8.480	8.550	8.310	8.440	241564	203432992.000
2004-09-03	8.450	8.510	8.400	8.480	97140	82136000.000
2004-09-06	8.430	8.500	8.400	8.460	54447	45996000.000
2004-09-07	8.470	8.500	8.430	8.480	36284	30669000.000
2004-09-08	8.460	8.480	8.300	8.350	107259	89838000.000
2004-09-09	8.300	8.370	8.270	8.310	101919	84724000.000
2004-09-10	8.290	8.330	8.180	8.320	170563	140414000.000
2004-09-13	8.300	8.300	8.230	8.270	103818	85810000.000
2004-09-14	8.300	8.580	8.300	8.510	261516	221854000.000
2004-09-15	8.540	8.870	8.490	8.690	373046	325214016.000
2004-09-16	8.740	8.780	8.600	8.700	189131	164459008.000
2004-09-17	8.700	8.890	8.620	8.870	309913	272521984.000
2004-09-20	9.000	9.050	8.850	9.020	560868	503091008.000
2004-09-21	9.020	9.050	8.870	8.940	297429	266284000.000
2004-09-22	8.930	9.020	8.700	8.740	244328	215734000.000
2004-09-23	8.740	9.020	8.660	8.990	243042	213724992.000
2004-09-24	9.050	9.280	8.900	8.920	892570	810112000.000
2004-09-27	9.270	9.270	8.830	8.950	317370	286083008.000
2004-09-28	8.910	9.010	8.900	8.930	143823	128747000.000
2004-09-29	8.940	8.950	8.750	8.750	175602	155207008.000
2004-09-30	8.750	8.810	8.670	8.730	173557	151468992.000
2004-10-08	8.730	8.800	8.580	8.780	140725	122007000.000
2004-10-11	8.780	8.780	8.600	8.690	193975	168586000.000
2004-10-12	8.670	8.670	8.470	8.490	186366	159047008.000
2004-10-13	8.490	8.530	8.390	8.410	193309	163288992.000
2004-10-14	8.420	8.480	8.330	8.400	270989	227011008.000
2004-10-15	8.350	8.600	8.340	8.520	173459	146986000.000
2004-10-18	8.480	8.540	8.390	8.520	104925	88644000.000
2004-10-19	8.500	8.630	8.480	8.500	84435	72187000.000
2004-10-20	8.500	8.610	8.450	8.600	95609	81606000.000
2004-10-21	8.600	8.710	8.510	8.520	128770	110936000.000
2004-10-22	8.670	9.030	8.600	8.960	601885	534716000.000
2004-10-25	9.080	9.110	8.820	8.820	278536	249238000.000
2004-10-26	8.800	9.240	8.760	9.190	653871	594947968.000
2004-10-27	9.200	9.250	9.130	9.210	553251	508271008.000
2004-10-28	9.240	9.240	9.060	9.080	364956	334407008.000
2004-10-29	8.850	9.160	8.820	9.010	396496	357352992.000
2004-11-01	8.990	9.220	8.900	9.150	315125	288470016.000
2004-11-02	9.150	9.260	9.080	9.180	320804	294720992.000
2004-11-03	9.230	9.520	9.180	9.450	634921	592708992.000
2004-11-04	9.480	9.530	9.110	9.160	526522	493478016.000
2004-11-05	9.200	9.260	9.010	9.110	284806	260646000.000
2004-11-08	9.110	9.320	9.060	9.210	225380	208038000.000
2004-11-09	9.230	9.320	9.170	9.280	114142	105925000.000
2004-11-10	9.300	9.640	9.220	9.530	425623	404726016.000
2004-11-11	9.560	9.580	9.370	9.420	308536	292672992.000
2004-11-12	9.400	9.570	9.350	9.500	185706	175628000.000
2004-11-15	9.510	9.650	9.470	9.530	185219	177036000.000
2004-11-16	9.530	9.550	9.360	9.400	182264	171615008.000
2004-11-17	9.360	9.420	9.320	9.360	124740	116853000.000
2004-11-18	9.360	9.480	9.340	9.380	107803	101284000.000
2004-11-19	9.380	9.430	9.270	9.370	122440	114162000.000
2004-11-22	9.380	9.400	9.220	9.280	146791	136226000.000
2004-11-23	9.280	9.280	9.140	9.160	169526	155648992.000
2004-11-24	9.150	9.350	9.110	9.170	211330	194716992.000
2004-11-25	9.180	9.260	9.130	9.210	129488	118932000.000
2004-11-26	9.210	9.230	9.100	9.160	91328	83626000.000
2004-11-29	9.140	9.240	9.100	9.180	72899	66716000.000
2004-11-30	9.160	9.290	9.140	9.220	114105	105302000.000
2004-12-01	9.250	9.270	9.170	9.250	86148	79501000.000
2004-12-02	9.240	9.240	8.960	9.050	196499	177780000.000
2004-12-03	9.030	9.090	8.960	9.010	89105	80276000.000
2004-12-06	9.000	9.130	8.980	9.070	42125	38052000.000
2004-12-07	9.080	9.110	8.980	9.010	46384	41843000.000
2004-12-08	9.070	9.130	8.970	8.990	107723	97419000.000
2004-12-09	9.010	9.170	8.940	9.010	146107	132625000.000
2004-12-10	9.010	9.050	8.880	8.900	104935	93966000.000
2004-12-13	8.850	8.950	8.740	8.930	152246	134730000.000
2004-12-14	8.910	8.980	8.860	8.900	70064	62375000.000
2004-12-15	8.900	8.970	8.850	8.960	99823	89034000.000
2004-12-16	8.960	9.040	8.900	8.980	69573	62464000.000
2004-12-17	8.970	8.970	8.800	8.840	102316	90703000.000
