时间	开	高	低	收	量	额
1997-03-27	9.220	9.220	9.220	9.220	0	0.000
1997-04-16	16.800	17.840	15.500	16.450	677425	1103292032.000
1997-04-17	16.000	16.430	15.750	15.780	129306	207652992.000
1997-04-18	15.670	15.900	15.380	15.450	87500	135514000.000
1997-04-21	15.410	16.190	15.390	15.850	88529	140604000.000
1997-04-22	15.940	16.500	15.780	16.250	104265	169400000.000
1997-04-23	16.500	16.590	15.900	15.980	61549	99099000.000
1997-04-24	15.900	16.100	15.560	15.720	58745	92733000.000
1997-04-25	15.710	16.480	15.650	15.980	107356	172600992.000
1997-04-28	16.480	17.580	16.280	17.460	238082	405976992.000
1997-04-29	17.880	17.890	16.300	16.830	122192	208616992.000
1997-04-30	17.000	17.500	16.600	17.160	72583	123338000.000
1997-05-05	17.200	17.750	17.200	17.580	136550	238140992.000
1997-05-06	17.750	19.340	17.500	19.340	242150	449175008.000
1997-05-07	19.610	20.100	19.150	19.330	220472	432836000.000
1997-05-08	19.290	19.290	17.400	17.400	148741	273535008.000
1997-05-09	17.710	18.700	17.300	18.620	149043	267926000.000
1997-05-12	19.000	20.000	18.800	19.000	123389	238124992.000
1997-05-13	18.940	18.980	17.700	18.230	85565	155592992.000
1997-05-14	18.000	18.100	17.010	17.060	65078	113770000.000
1997-05-15	17.000	17.900	16.900	17.800	43005	75039000.000
1997-05-16	16.020	17.300	16.020	16.320	78244	130145000.000
1997-05-19	16.380	16.980	16.360	16.700	30687	51012000.000
1997-05-20	16.900	17.250	16.500	17.000	40267	68533000.000
1997-05-21	17.200	17.200	16.100	16.330	33210	54767000.000
1997-05-22	15.000	15.980	14.700	14.700	48312	72634000.000
1997-05-23	14.700	15.200	14.700	15.090	28418	42642000.000
1997-05-26	15.200	15.540	14.500	15.200	22937	34649000.000
1997-05-27	16.000	16.000	15.400	15.560	21533	33550000.000
1997-05-28	15.300	15.500	15.150	15.160	22956	35014000.000
1997-05-29	15.010	15.300	14.900	14.930	18797	28403000.000
1997-05-30	14.980	15.390	14.980	15.350	14432	21875000.000
1997-06-02	15.700	16.290	15.700	16.200	41420	66790000.000
1997-06-03	16.500	16.580	15.710	16.240	47719	76992000.000
1997-06-04	16.360	16.480	16.020	16.270	32006	52027000.000
1997-06-05	16.270	16.450	15.800	16.230	38915	62968000.000
1997-06-06	14.800	15.690	14.700	14.980	42566	64215000.000
1997-06-09	15.000	15.300	14.900	15.170	20076	30294000.000
1997-06-10	15.300	15.400	14.600	14.740	16157	24191000.000
1997-06-11	14.800	14.950	13.480	14.110	17800	24951000.000
1997-06-12	14.200	14.680	13.950	14.450	13973	19921000.000
1997-06-13	13.800	15.300	13.700	15.260	44459	66812000.000
