时间	开	高	低	收	量	额
1992-08-20	290.000	307.500	161.100	293.000	13370	39254000.000
1992-08-21	292.000	295.000	281.550	285.000	3636	10423000.000
1992-08-24	280.000	280.000	221.830	266.500	3342	9017000.000
1992-08-25	255.000	311.400	250.000	256.500	2234	5805000.000
1992-08-26	253.000	272.000	249.000	270.000	2704	6998000.000
1992-08-27	271.000	272.500	259.500	261.250	1862	4908000.000
1992-08-28	261.000	261.000	253.300	258.500	1536	3940000.000
1992-08-31	254.500	260.000	245.000	247.000	1543	3847000.000
1992-09-01	247.000	252.000	235.000	247.000	1373	3376000.000
1992-09-02	246.500	247.000	230.030	236.250	1698	4039000.000
1992-09-03	208.000	236.000	208.000	232.000	2625	6031000.000
1992-09-04	230.000	240.000	221.500	226.000	1527	3499000.000
1992-09-07	225.000	236.000	169.750	210.000	1780	3906000.000
1992-09-08	180.000	198.000	160.000	186.400	1866	3368000.000
1992-09-09	146.000	187.000	143.500	180.400	1665	2891000.000
1992-09-10	182.500	200.000	177.600	191.050	1358	2565000.000
1992-09-11	200.000	226.500	159.750	212.500	1597	3389000.000
1992-09-14	210.000	227.500	201.000	208.500	3046	6520000.000
1992-09-15	194.050	216.000	192.550	205.000	1460	2949000.000
1992-09-16	212.900	221.000	206.000	214.950	2030	4321000.000
1992-09-17	225.000	225.000	168.300	213.000	1488	3175000.000
1992-09-18	194.500	213.000	194.500	209.000	643	1346000.000
1992-09-21	205.000	211.000	203.530	204.750	1304	2688000.000
1992-09-22	202.000	206.500	199.000	200.000	819	1654000.000
1992-09-23	202.000	203.030	195.000	197.000	706	1403000.000
1992-09-24	197.000	210.100	197.000	205.000	1286	2619000.000
1992-09-25	207.000	207.000	202.000	206.000	688	1408000.000
1992-09-28	210.000	210.000	200.000	203.510	184	374000.000
1992-09-29	200.130	202.250	195.530	198.000	641	1269000.000
1992-09-30	194.780	197.000	192.500	195.730	768	1498000.000
1992-10-05	193.000	193.000	172.500	182.500	1175	2152000.000
1992-10-06	182.800	189.750	175.050	180.000	1164	2104000.000
1992-10-07	181.250	185.000	178.500	179.050	580	1048000.000
1992-10-08	177.000	178.500	171.000	171.800	1244	2166000.000
1992-10-09	172.000	180.500	169.500	177.000	1352	2383000.000
1992-10-12	184.980	189.000	180.750	181.850	1654	3033000.000
1992-10-13	181.430	184.950	169.000	174.500	678	1222000.000
1992-10-14	173.000	173.000	169.280	171.000	1580	2703000.000
1992-10-15	169.000	171.500	168.000	171.500	718	1218000.000
1992-10-16	170.000	173.750	169.500	172.000	967	1665000.000
1992-10-19	170.500	170.500	159.900	160.000	1007	1643000.000
1992-10-20	169.950	170.500	143.000	152.000	1221	1905000.000
1992-10-21	150.000	150.000	138.100	140.000	1413	2019000.000
1992-10-22	140.500	140.500	122.050	126.000	2470	3180000.000
1992-10-23	121.500	140.500	117.500	131.050	1771	2283000.000
1992-10-26	124.000	133.500	110.400	115.000	2274	2789000.000
1992-10-27	110.000	112.750	98.050	101.500	1862	1914000.000
1992-10-28	101.000	112.450	99.500	103.000	1404	1456000.000
1992-10-29	106.000	108.500	100.500	108.050	1037	1090000.000
1992-10-30	110.100	112.750	108.750	112.000	1717	1897000.000
1992-11-02	112.000	112.950	99.000	104.600	992	1037000.000
1992-11-03	100.000	104.830	99.180	103.200	1080	1106000.000
1992-11-04	99.780	103.750	99.780	100.630	646	655000.000
1992-11-05	100.000	101.050	97.100	99.000	1137	1121000.000
1992-11-06	100.230	100.230	96.650	98.100	742	726000.000
1992-11-09	97.980	98.030	90.300	90.900	782	734000.000
1992-11-10	87.000	88.180	75.000	80.500	952	782000.000
1992-11-11	80.000	83.480	78.050	82.730	1266	1036000.000
1992-11-12	82.500	86.230	80.500	84.000	1247	1042000.000
1992-11-13	83.500	86.250	82.450	82.950	755	635000.000
1992-11-16	83.100	83.100	79.000	80.000	694	555000.000
1992-11-17	74.000	80.000	72.600	80.000	686	535000.000
1992-11-18	79.000	82.800	79.000	82.500	884	723000.000
1992-11-19	83.000	84.950	78.800	82.000	794	646000.000
1992-11-20	81.900	82.000	79.950	81.300	289	233000.000
1992-11-23	82.000	84.500	81.000	82.600	464	382000.000
1992-11-24	83.000	90.000	82.050	89.000	1522	1297000.000
1992-11-25	94.000	120.000	91.200	120.000	3857	3913000.000
1992-11-26	148.000	180.000	115.000	118.000	5455	7674000.000
1992-11-27	141.000	148.000	95.000	135.000	2521	3215000.000
1992-11-30	150.000	160.000	141.000	158.000	4836	7337000.000
1992-12-01	168.000	168.000	148.000	156.000	1915	2991000.000
1992-12-02	150.000	160.000	146.100	157.000	1979	3053000.000
1992-12-03	162.000	174.800	162.000	171.000	2734	4633000.000
1992-12-04	177.000	180.000	172.000	178.000	4276	7604000.000
1992-12-07	185.000	185.000	168.000	181.000	2382	4155000.000
1992-12-08	187.000	187.000	160.000	172.000	5182	9145000.000
1992-12-09	175.000	175.000	150.000	158.000	1605	2650000.000
1992-12-10	15.000	16.100	13.500	14.000	2240	3363000.000
1992-12-11	14.500	16.200	14.100	16.000	1347	2048000.000
1992-12-14	16.500	16.500	15.000	15.610	869	1356000.000
1992-12-15	14.500	15.800	14.500	15.000	646	993000.000
1992-12-16	13.500	15.100	13.500	15.000	1428	2062000.000
1992-12-17	15.000	15.600	14.900	15.500	739	1137000.000
1992-12-18	15.620	15.800	15.000	15.420	1113	1726000.000
1992-12-21	15.000	16.200	15.000	15.770	2032	3234000.000
1992-12-22	15.700	16.100	15.520	15.520	853	1356000.000
1992-12-23	15.550	15.960	15.000	15.650	828	1275000.000
1992-12-24	15.900	16.000	15.670	16.000	1726	2740000.000
1992-12-25	16.000	16.650	16.000	16.200	1649	2702000.000
1992-12-28	16.500	16.500	15.800	16.020	565	908000.000
1992-12-29	16.200	16.450	15.700	16.410	875	1420000.000
1992-12-30	16.400	17.000	16.400	16.800	1558	2631000.000
1992-12-31	16.500	17.000	16.500	16.990	1722	2923000.000
1993-01-04	17.050	18.050	17.050	18.050	2177	3855000.000
1993-01-05	18.400	19.900	18.200	19.600	4803	9231000.000
1993-01-06	20.200	20.550	19.000	19.300	4592	9083000.000
1993-01-07	19.800	19.990	19.000	19.900	2025	3955000.000
1993-01-08	20.500	20.600	19.800	20.500	4906	10004000.000
1993-01-11	22.200	23.000	21.000	22.500	4574	10078000.000
1993-01-12	24.300	24.300	21.400	22.150	5006	11457000.000
1993-01-13	21.000	22.890	21.000	22.530	3024	6726000.000
1993-01-14	23.500	24.000	23.000	24.000	3925	9300000.000
1993-01-15	25.490	26.000	24.000	24.070	4624	11209000.000
1993-01-18	24.600	24.700	24.000	24.010	1562	3785000.000
1993-01-19	24.000	24.000	22.120	22.400	2000	4602000.000
1993-01-20	22.000	24.400	21.060	23.930	2122	4943000.000
1993-01-21	24.000	24.690	23.990	24.430	2321	5649000.000
1993-01-22	24.500	26.790	24.350	26.020	5207	13326000.000
1993-01-27	26.480	28.100	26.480	27.780	4278	11686000.000
1993-01-28	28.480	28.800	27.800	28.000	6337	17862000.000
1993-01-29	28.500	32.900	28.320	31.020	4912	14563000.000
1993-02-01	32.200	32.200	28.200	32.000	6937	21661000.000
1993-02-02	32.500	32.900	31.450	31.900	5039	16247000.000
1993-02-03	31.500	32.450	30.170	31.700	4079	12766000.000
1993-02-04	32.100	33.000	30.800	32.980	4529	14650000.000
1993-02-05	33.500	34.580	31.130	31.900	5303	17581000.000
1993-02-08	31.500	33.500	31.500	33.310	4501	14666000.000
1993-02-09	34.200	35.600	34.200	34.890	7133	24914000.000
1993-02-10	35.380	36.300	33.850	34.050	6183	21839000.000
1993-02-11	33.900	35.800	31.400	32.800	3175	10755000.000
1993-02-12	31.850	33.400	31.000	33.300	4758	15482000.000
1993-02-15	35.880	35.880	33.550	34.400	4297	14724000.000
1993-02-16	35.480	35.480	33.450	33.710	3575	12287000.000
1993-02-17	33.800	34.590	33.800	33.990	2683	9175000.000
1993-02-18	34.260	35.150	34.000	34.350	2267	7810000.000
1993-02-19	34.310	34.690	31.360	33.750	2106	6993000.000
1993-02-22	35.000	35.000	32.810	33.000	2280	7631000.000
1993-02-23	31.000	33.300	30.000	31.000	3418	10660000.000
1993-02-24	30.000	30.600	26.300	28.340	4666	13197000.000
1993-02-25	25.600	32.500	25.600	31.400	5531	16705000.000
1993-02-26	31.600	32.500	29.170	29.210	5176	15914000.000
1993-03-01	29.500	29.500	25.000	25.100	2881	7850000.000
1993-03-02	25.310	28.000	25.100	27.000	2747	7306000.000
1993-03-03	26.100	27.700	26.050	26.600	1202	3197000.000
1993-03-04	26.650	27.000	24.500	25.160	1575	3975000.000
1993-03-05	25.300	25.700	20.560	24.500	3226	7516000.000
1993-03-08	29.000	30.000	26.000	26.500	5472	15432000.000
1993-03-09	24.510	25.980	23.110	24.580	2250	5579000.000
1993-03-10	22.300	25.900	21.020	25.550	2512	6198000.000
1993-03-11	24.500	28.010	24.500	28.010	4025	10844000.000
1993-03-12	28.200	29.380	26.000	27.470	4294	12157000.000
1993-03-15	24.820	27.800	24.820	26.500	2199	5932000.000
1993-03-16	26.360	27.480	25.320	27.340	1765	4766000.000
1993-03-17	25.800	28.000	25.800	26.690	932	2511000.000
1993-03-18	26.700	27.000	26.100	26.480	872	2300000.000
1993-03-19	26.400	26.800	25.800	26.000	1220	3210000.000
1993-03-22	26.260	26.260	22.800	23.000	1992	4774000.000
1993-03-23	23.000	23.000	20.800	21.150	2555	5510000.000
1993-03-24	21.150	21.700	20.510	20.600	813	1713000.000
1993-03-25	20.800	21.000	19.100	19.850	1416	2770000.000
1993-03-26	21.100	22.250	19.850	22.100	3096	6588000.000
1993-03-29	22.000	22.000	20.150	20.600	1342	2820000.000
1993-03-30	21.500	22.890	21.200	21.580	2636	5813000.000
1993-03-31	21.800	21.800	20.000	20.700	1360	2850000.000
1993-04-01	20.750	22.000	20.210	21.500	1171	2499000.000
1993-04-02	21.690	22.010	21.140	21.300	1090	2359000.000
1993-04-05	21.050	21.800	21.050	21.700	1059	2292000.000
1993-04-06	21.800	24.200	21.800	24.000	3623	8516000.000
1993-04-07	26.400	26.500	24.500	25.350	5693	14540000.000
1993-04-08	25.500	29.990	25.500	28.610	4797	13001000.000
1993-04-09	29.000	30.500	27.210	28.200	6241	17936000.000
1993-04-12	27.700	28.500	26.500	26.660	3135	8636000.000
1993-04-13	26.700	28.500	26.310	28.350	3035	8410000.000
1993-04-14	28.980	29.700	26.510	27.400	3509	9855000.000
1993-04-15	27.800	27.900	26.890	27.300	1410	3869000.000
1993-04-16	27.890	27.890	25.810	26.200	2149	5665000.000
1993-04-19	25.210	27.100	25.210	26.700	1513	3997000.000
1993-04-20	27.010	27.750	27.000	27.100	1660	4542000.000
1993-04-21	26.500	27.600	26.500	27.350	1030	2807000.000
1993-04-22	28.000	28.500	27.000	28.350	2041	5699000.000
1993-04-23	28.600	29.000	27.610	27.820	2328	6609000.000
1993-04-26	28.010	29.800	28.010	29.200	3628	10459000.000
1993-04-27	29.600	29.700	29.100	29.590	3390	9998000.000
1993-04-28	29.800	30.680	29.610	30.100	4116	12456000.000
1993-04-29	30.200	30.500	29.500	29.500	2167	6509000.000
1993-04-30	29.100	30.000	29.100	29.620	1396	4111000.000
1993-05-03	29.600	30.950	29.520	30.180	2162	6538000.000
1993-05-04	30.030	30.150	27.500	27.510	2406	6860000.000
1993-05-05	27.930	28.200	26.000	27.550	2292	6258000.000
1993-05-06	26.000	27.400	25.040	25.200	1682	4390000.000
1993-05-07	25.260	26.280	25.000	26.100	1658	4282000.000
1993-05-10	26.650	26.850	24.500	25.500	1225	3172000.000
1993-05-11	25.000	26.000	24.950	25.700	517	1319000.000
1993-05-12	25.900	26.290	25.750	25.900	830	2161000.000
1993-05-13	26.220	26.800	26.020	26.800	650	1718000.000
1993-05-14	26.900	27.460	26.000	26.550	1140	3067000.000
1993-05-17	25.210	26.020	25.200	25.700	617	1580000.000
1993-05-18	25.520	25.880	24.620	25.560	570	1464000.000
1993-05-19	25.600	25.820	25.400	25.710	223	572000.000
1993-05-20	25.820	26.580	25.820	26.350	579	1527000.000
1993-05-21	26.500	26.500	25.000	25.970	603	1561000.000
1993-05-24	24.200	25.800	23.000	23.350	899	2181000.000
1993-05-25	22.060	23.150	22.000	22.650	1057	2357000.000
1993-05-26	22.450	22.880	22.000	22.150	745	1667000.000
1993-05-27	22.000	22.680	20.600	21.500	648	1397000.000
1993-05-28	21.800	22.150	21.350	21.540	697	1514000.000
1993-05-31	21.700	22.500	20.700	20.910	567	1195000.000
1993-06-01	20.800	20.800	19.400	20.400	644	1283000.000
1993-06-02	21.200	24.690	20.500	23.600	2344	5165000.000
1993-06-03	24.500	25.660	19.510	21.600	2293	5500000.000
1993-06-04	23.700	23.700	20.000	22.000	1109	2422000.000
1993-06-07	22.000	23.200	21.920	23.200	1072	2412000.000
1993-06-08	24.500	24.600	23.100	23.800	1881	4515000.000
1993-06-09	24.020	24.020	23.500	23.800	802	1903000.000
1993-06-10	24.100	24.100	23.050	23.600	616	1459000.000
1993-06-11	23.600	25.400	23.500	24.100	1860	4574000.000
1993-06-14	23.500	24.000	22.250	23.000	972	2273000.000
1993-06-15	23.000	23.000	22.000	22.800	513	1156000.000
1993-06-16	23.000	23.700	23.000	23.430	382	893000.000
1993-06-17	23.680	24.300	23.510	23.750	459	1093000.000
1993-06-18	23.990	24.200	23.700	23.800	549	1307000.000
1993-06-21	23.000	23.500	22.500	22.900	419	961000.000
1993-06-22	23.000	23.300	22.300	23.150	221	510000.000
1993-06-23	23.000	23.300	22.900	23.200	116	268000.000
1993-06-24	23.200	23.240	22.600	22.950	165	379000.000
1993-06-25	22.800	24.200	22.800	23.300	275	648000.000
1993-06-28	22.400	23.200	22.400	22.850	200	460000.000
1993-06-29	24.100	24.100	23.000	23.470	349	820000.000
1993-06-30	23.470	24.000	23.000	23.100	347	809000.000
1993-07-01	22.990	23.340	22.860	22.950	263	605000.000
1993-07-02	23.980	23.980	23.050	23.200	280	650000.000
1993-07-05	23.000	23.000	22.000	22.300	345	773000.000
1993-07-06	21.990	22.100	20.850	20.920	574	1212000.000
1993-07-07	20.700	20.980	19.600	20.600	495	1005000.000
1993-07-08	20.550	20.990	20.400	20.560	311	640000.000
1993-07-09	20.500	20.500	19.510	19.880	318	632000.000
1993-07-12	18.810	19.150	18.810	19.100	343	650000.000
1993-07-13	18.600	19.800	18.600	19.400	188	364000.000
1993-07-14	19.880	19.880	18.980	18.980	177	338000.000
1993-07-15	18.980	19.170	18.890	19.090	182	346000.000
1993-07-16	19.500	19.500	19.000	19.280	188	362000.000
1993-07-19	19.000	19.300	18.720	18.800	249	471000.000
1993-07-20	18.750	18.750	17.400	17.800	297	539000.000
1993-07-21	17.770	17.900	17.600	17.710	201	356000.000
1993-07-22	17.750	17.750	17.400	17.600	134	235000.000
1993-07-23	17.500	17.550	17.320	17.490	207	362000.000
1993-07-26	17.000	17.300	16.800	16.880	153	259000.000
1993-07-27	16.970	16.970	16.060	16.550	187	307000.000
1993-07-28	16.790	17.500	16.700	16.800	236	401000.000
1993-07-29	17.000	17.300	17.000	17.050	112	191000.000
1993-07-30	17.490	19.180	17.200	18.600	574	1032000.000
1993-08-02	20.220	20.220	17.150	18.100	903	1672000.000
1993-08-03	17.990	18.050	17.400	17.600	297	527000.000
1993-08-04	17.600	18.000	17.020	17.950	247	431000.000
1993-08-05	18.100	18.100	17.600	17.800	278	498000.000
1993-08-06	17.950	17.980	17.600	17.800	173	308000.000
1993-08-09	18.000	18.300	17.800	18.200	398	719000.000
1993-08-10	18.200	18.890	17.900	18.100	642	1183000.000
1993-08-11	18.510	18.510	18.000	18.250	181	329000.000
1993-08-12	18.480	18.700	18.300	18.630	447	826000.000
1993-08-13	18.800	20.000	18.800	19.760	1553	3038000.000
1993-08-16	20.400	22.500	20.400	22.300	1540	3254000.000
1993-08-17	22.500	22.800	20.100	21.400	1586	3460000.000
1993-08-18	21.100	21.800	20.630	21.550	1601	3433000.000
1993-08-19	21.050	21.690	20.760	21.560	1735	3714000.000
1993-08-20	21.220	21.950	20.700	20.770	790	1662000.000
1993-08-23	20.300	20.500	19.000	19.300	646	1266000.000
