时间	开	高	低	收	量	额
1990-12-19	96.050	99.980	95.790	99.980	1260	494311.000
1990-12-20	104.300	104.390	99.980	104.390	197	84992.000
1990-12-21	109.070	109.130	103.730	109.130	28	16096.000
1990-12-24	113.570	114.550	109.130	114.550	32	31063.000
1990-12-25	120.090	120.250	114.550	120.250	15	6510.000
1990-12-26	125.270	125.270	120.250	125.270	100	53730.000
1990-12-27	125.270	125.280	125.270	125.280	66	104644.000
1990-12-28	126.390	126.450	125.280	126.450	108	88031.000
1990-12-31	126.560	127.610	126.480	127.610	78	60030.000
1991-01-02	127.610	128.840	127.610	128.840	91	59098.000
1991-01-03	128.840	130.140	128.840	130.140	141	93918.000
1991-01-04	131.270	131.440	130.140	131.440	420	261904.000
1991-01-07	131.990	132.060	131.450	132.060	217	141737.000
1991-01-08	132.620	132.680	132.060	132.680	2926	1806867.000
1991-01-09	133.300	133.340	132.680	133.340	5603	3228719.000
1991-01-10	133.930	133.970	133.340	133.970	9990	5399457.000
1991-01-11	134.610	134.610	134.510	134.600	13327	7115732.000
1991-01-14	134.110	135.190	134.110	134.670	12530	6883604.000
1991-01-15	134.210	134.740	134.190	134.740	1446	1010364.000
1991-01-16	134.190	134.740	134.140	134.240	509	270133.000
1991-01-17	133.670	134.250	133.650	134.250	658	334238.000
1991-01-18	133.700	134.250	133.670	134.240	3004	1570833.000
1991-01-21	133.700	134.240	133.660	134.240	2051	1029305.000
1991-01-22	133.720	134.240	133.660	133.720	354	180787.000
1991-01-23	133.170	133.720	133.140	133.170	1095	575928.000
1991-01-24	132.610	133.170	132.570	132.610	1857	917392.000
1991-01-25	132.050	132.070	132.030	132.050	3447	1722246.000
1991-01-28	131.460	131.550	131.460	131.460	5107	2565573.000
1991-01-29	130.950	130.970	130.950	130.950	1387	710741.000
1991-01-30	130.440	130.950	130.410	130.440	527	260701.000
1991-01-31	129.930	130.460	129.930	129.970	510	244662.000
1991-02-01	129.500	129.970	129.450	129.510	345	140871.000
1991-02-04	129.050	129.580	129.050	129.050	553	273652.000
1991-02-05	128.560	128.580	128.530	128.580	8562	4250084.000
1991-02-06	129.130	129.150	128.060	129.140	6641	3847268.000
1991-02-07	129.740	129.790	129.140	129.790	2133	1504814.000
1991-02-08	130.360	130.390	129.790	130.380	1234	879868.000
1991-02-11	130.920	130.970	130.390	130.970	9317	4834876.000
1991-02-12	131.540	131.560	130.970	131.350	3774	1986983.000
1991-02-13	131.930	131.930	131.350	131.920	1152	673738.000
1991-02-14	132.530	132.530	132.300	132.530	3624	1883072.000
1991-02-19	133.120	133.140	133.080	133.130	1748	1216176.000
1991-02-20	133.630	133.670	133.130	133.670	876	520724.000
1991-02-21	134.240	134.280	133.670	134.280	3220	1771726.000
1991-02-22	134.850	134.870	134.280	134.870	3427	2003776.000
1991-02-25	134.370	134.870	134.330	134.400	810	621015.000
1991-02-26	133.900	134.440	133.900	133.930	1094	2545711.000
1991-02-27	133.440	133.980	133.440	133.470	214	141958.000
1991-02-28	132.990	133.520	132.980	133.010	2258	1187974.000
1991-03-01	132.530	132.530	132.470	132.530	7124	3777320.000
1991-03-04	132.090	132.090	131.980	131.990	2518	1418017.000
