时间	开	高	低	收	量	额
1994-09-28	13.000	13.100	12.030	12.450	63460	79843000.000
1994-09-29	12.530	12.720	9.800	11.500	29628	35562000.000
1994-09-30	11.200	11.200	10.200	10.450	33045	34704000.000
1994-10-05	10.000	10.100	8.900	9.020	20645	19861000.000
1994-10-06	9.050	9.600	8.470	8.560	10667	9800000.000
1994-10-07	8.560	10.200	8.000	9.750	19599	17469000.000
1994-10-10	9.700	9.700	9.000	9.250	13285	12397000.000
1994-10-11	9.000	9.390	9.000	9.280	4039	3743000.000
1994-10-12	9.350	9.420	9.150	9.190	4393	4082000.000
1994-10-13	9.400	9.400	8.300	8.300	7503	6421000.000
1994-10-14	8.300	8.800	7.820	8.720	12084	10081000.000
1994-10-17	8.500	8.500	8.000	8.050	6449	5311000.000
1994-10-18	8.200	8.250	8.000	8.110	3596	2916000.000
1994-10-19	8.110	8.450	8.100	8.380	4706	3918000.000
1994-10-20	8.480	9.300	8.400	9.300	22845	20209000.000
1994-10-21	9.500	9.650	9.000	9.080	40079	37512000.000
1994-10-24	8.880	11.000	8.860	10.870	34650	34031000.000
1994-10-25	10.850	11.200	10.380	10.400	60835	65891000.000
1994-10-26	10.350	10.600	10.000	10.100	19409	19928000.000
1994-10-27	10.000	10.250	9.960	10.200	15637	15790000.000
1994-10-28	10.300	10.310	9.700	9.750	8581	8548000.000
1994-10-31	9.850	9.950	9.230	9.300	12224	11516000.000
1994-11-01	9.200	9.430	8.950	9.150	5149	4719000.000
1994-11-02	9.150	9.300	9.100	9.250	4256	3908000.000
1994-11-03	9.250	10.300	9.230	9.800	14857	14568000.000
1994-11-04	9.850	9.950	9.160	9.300	12637	11967000.000
1994-11-07	9.300	9.450	9.000	9.310	5259	4877000.000
1994-11-08	9.500	10.000	9.380	9.750	22921	22195000.000
1994-11-09	9.840	10.000	9.450	9.990	17689	17290000.000
1994-11-10	10.200	10.390	9.750	9.950	25171	25450000.000
1994-11-11	9.710	11.000	9.710	10.600	25488	26103000.000
1994-11-14	10.800	10.800	10.300	10.580	20973	22096000.000
1994-11-15	10.300	10.450	10.200	10.230	15290	15705000.000
1994-11-16	10.150	10.350	10.100	10.260	4988	5108000.000
1994-11-17	10.260	10.600	9.950	10.450	4611	4729000.000
1994-11-18	10.450	10.450	10.050	10.180	7489	7595000.000
1994-11-21	10.160	10.160	9.960	10.000	1300	1304000.000
1994-11-22	10.000	10.200	9.980	10.020	996	998000.000
1994-11-23	9.900	10.200	9.900	9.910	2125	2117000.000
1994-11-24	9.920	9.980	9.800	9.850	1176	1160000.000
1994-11-25	9.850	10.150	9.850	9.970	2034	2036000.000
1994-11-28	9.970	9.970	9.800	9.890	662	653000.000
1994-11-29	9.610	10.030	9.610	10.030	957	944000.000
1994-11-30	10.050	10.060	9.840	9.880	769	764000.000
1994-12-01	10.000	10.100	9.850	9.900	640	638000.000
1994-12-02	9.850	10.000	9.830	9.850	809	800000.000
1994-12-05	9.800	9.820	9.520	9.520	1445	1395000.000
1994-12-06	9.500	9.550	9.250	9.300	1501	1410000.000
1994-12-07	9.400	9.500	9.280	9.350	666	622000.000
1994-12-08	9.350	9.460	9.180	9.180	677	625000.000
1994-12-09	9.020	9.230	9.000	9.060	1463	1330000.000
1994-12-12	9.060	9.060	8.800	8.800	1118	994000.000
1994-12-13	8.800	9.250	8.800	9.050	2514	2261000.000
